"","N.1","N.2","N.3","P.1","P.2","P.3"
"Glyma.12G227700.Wm82.a2.v1",67,71,42,15,26,40
"Glyma.10G121900.Wm82.a2.v1",2,2,2,4,3,0
"Glyma.03G049100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G052700.Wm82.a2.v1",12,4,0,50,75,50
"Glyma.10G197200.Wm82.a2.v1",4,2,1,4,3,4
"Glyma.08G150600.Wm82.a2.v1",0,1,0,0,1,1
"Glyma.19G169700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G040300.Wm82.a2.v1",0,0,0,0,3,0
"Glyma.07G114000.Wm82.a2.v1",6,4,2,2,2,3
"Glyma.06G221200.Wm82.a2.v1",2,5,0,0,2,3
"Glyma.16G135800.Wm82.a2.v1",9,12,5,5,10,2
"Glyma.14G163100.Wm82.a2.v1",0,1,0,0,1,2
"Glyma.04G097700.Wm82.a2.v1",43,48,32,24,20,27
"Glyma.02G113900.Wm82.a2.v1",49,43,39,34,49,26
"Glyma.15G229800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G078100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G123000.Wm82.a2.v1",1,0,0,1,0,0
"Glyma.02G101300.Wm82.a2.v1",66,69,60,20,40,49
"Glyma.03G050100.Wm82.a2.v1",2,8,1,2,3,3
"Glyma.08G199500.Wm82.a2.v1",1198,1904,1516,377,378,624
"Glyma.04G121400.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.07G010400.Wm82.a2.v1",139,124,100,95,113,126
"Glyma.04G249100.Wm82.a2.v1",40,35,25,15,19,14
"Glyma.06G104800.Wm82.a2.v1",96,62,35,17,23,31
"Glyma.04G187800.Wm82.a2.v1",36,23,27,40,35,35
"Glyma.10G077900.Wm82.a2.v1",11,13,7,10,10,12
"Glyma.16G040900.Wm82.a2.v1",79,100,77,45,67,64
"Glyma.01G155000.Wm82.a2.v1",5,6,11,6,14,4
"Glyma.11G057700.Wm82.a2.v1",8,1,6,3,1,4
"Glyma.18G166700.Wm82.a2.v1",39,39,21,36,27,23
"Glyma.08G150800.Wm82.a2.v1",802,364,191,631,216,168
"Glyma.02G021800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G215000.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.07G137400.Wm82.a2.v1",2,1,0,2,2,0
"Glyma.04G040400.Wm82.a2.v1",2,0,0,0,1,0
"Glyma.03G179300.Wm82.a2.v1",172,141,98,61,99,93
"Glyma.05G153600.Wm82.a2.v1",3,2,0,3,1,2
"Glyma.05G181900.Wm82.a2.v1",26,46,49,55,34,33
"Glyma.03G174700.Wm82.a2.v1",1,4,1,1,0,0
"Glyma.20G163800.Wm82.a2.v1",7,11,7,5,4,4
"Glyma.07G168000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G242300.Wm82.a2.v1",72,106,135,96,101,93
"Glyma.14G043700.Wm82.a2.v1",38,47,34,7,13,8
"Glyma.02G307200.Wm82.a2.v1",131,134,112,106,127,84
"Glyma.03G104900.Wm82.a2.v1",0,1,0,0,0,0
