"","N.1","N.2","N.3","P.1","P.2","P.3"
"Glyma.18G116400.Wm82.a2.v1",1253,1412,931,376,376,434
"Glyma.13G090600.Wm82.a2.v1",127,133,93,47,67,75
"Glyma.11G135000.Wm82.a2.v1",1,0,2,0,0,0
"Glyma.15G190800.Wm82.a2.v1",41,31,19,44,45,48
"Glyma.02G281500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G091000.Wm82.a2.v1",204,178,174,83,77,107
"Glyma.18G020700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G041800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G043100.Wm82.a2.v1",0,0,1,0,0,0
"Glyma.08G285100.Wm82.a2.v1",141,202,200,170,107,152
"Glyma.16G034900.Wm82.a2.v1",83,77,63,84,94,81
"Glyma.20G002900.Wm82.a2.v1",12,14,8,13,7,11
"Glyma.07G159000.Wm82.a2.v1",32,63,39,53,19,57
"Glyma.16G026200.Wm82.a2.v1",2833,3187,2370,3391,3317,2553
"Glyma.02G240600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G237800.Wm82.a2.v1",286,290,228,339,399,244
"Glyma.10G217900.Wm82.a2.v1",307,299,167,154,163,86
"Glyma.02G016000.Wm82.a2.v1",270,289,192,297,296,200
"Glyma.02G239600.Wm82.a2.v1",1137,870,588,727,654,610
"Glyma.13G362700.Wm82.a2.v1",27,19,12,18,14,14
"Glyma.01G189600.Wm82.a2.v1",18,15,9,6,16,19
"Glyma.09G047000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G151000.Wm82.a2.v1",55,42,44,45,47,37
"Glyma.17G045700.Wm82.a2.v1",0,1,0,2,1,0
"Glyma.08G151200.Wm82.a2.v1",1,0,1,0,0,0
"Glyma.12G208900.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.07G221500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G012700.Wm82.a2.v1",354,437,277,417,370,280
"Glyma.20G157400.Wm82.a2.v1",5,11,2,3,4,3
"Glyma.11G233400.Wm82.a2.v1",12,17,15,7,7,9
"Glyma.18G185200.Wm82.a2.v1",139,121,139,169,193,122
"Glyma.11G196100.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.02G061600.Wm82.a2.v1",3,2,1,4,2,1
"Glyma.02G309800.Wm82.a2.v1",45,63,31,30,39,32
"Glyma.07G130700.Wm82.a2.v1",0,1,1,1,0,1
"Glyma.20G079200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G130100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G183900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G200800.Wm82.a2.v1",1,0,1,0,1,0
"Glyma.10G098700.Wm82.a2.v1",0,2,2,0,0,1
"Glyma.06G134100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G264700.Wm82.a2.v1",35,30,39,5,7,5
"Glyma.10G000900.Wm82.a2.v1",292,394,246,450,477,316
"Glyma.19G198400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G006400.Wm82.a2.v1",7,2,2,8,9,9
"Glyma.17G110800.Wm82.a2.v1",638,570,400,315,342,350
"Glyma.19G142400.Wm82.a2.v1",119,136,113,90,104,78
"Glyma.06G228400.Wm82.a2.v1",4,12,6,3,3,4
"Glyma.11G058200.Wm82.a2.v1",94,90,42,106,73,61
"Glyma.12G021600.Wm82.a2.v1",202,219,154,143,171,136
"Glyma.06G064200.Wm82.a2.v1",383,354,294,384,471,326
"Glyma.18G032300.Wm82.a2.v1",1,2,1,0,1,0
"Glyma.18G055200.Wm82.a2.v1",76,94,75,62,73,62
"Glyma.20G059700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G306900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G224500.Wm82.a2.v1",174,113,93,130,117,124
"Glyma.14G076300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G249900.Wm82.a2.v1",19,16,8,19,7,19
"Glyma.18G100900.Wm82.a2.v1",15,12,25,8,5,13
"Glyma.04G061500.Wm82.a2.v1",9,10,17,22,18,20
"Glyma.03G104600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G005700.Wm82.a2.v1",174,121,101,121,139,115
"Glyma.13G026900.Wm82.a2.v1",16,17,24,16,18,18
"Glyma.01G104400.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.17G028000.Wm82.a2.v1",38,43,37,46,89,71
"Glyma.20G121200.Wm82.a2.v1",341,320,218,232,260,232
"Glyma.17G239400.Wm82.a2.v1",54,67,38,31,42,51
"Glyma.08G228100.Wm82.a2.v1",21,14,15,22,29,26
"Glyma.19G044700.Wm82.a2.v1",50,40,40,42,45,32
"Glyma.07G110200.Wm82.a2.v1",283,232,206,263,310,247
"Glyma.19G241300.Wm82.a2.v1",106,129,84,88,103,82
"Glyma.11G175200.Wm82.a2.v1",694,817,577,667,699,558
"Glyma.12G009100.Wm82.a2.v1",194,215,151,153,202,155
"Glyma.17G002900.Wm82.a2.v1",111,124,91,109,86,74
"Glyma.04G255700.Wm82.a2.v1",1038,958,666,799,938,702
"Glyma.20G128300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G140200.Wm82.a2.v1",69,68,70,39,71,56
"Glyma.01G137100.Wm82.a2.v1",0,0,2,0,1,0
"Glyma.15G131600.Wm82.a2.v1",10,16,8,17,30,23
"Glyma.13G085900.Wm82.a2.v1",9,16,5,12,14,7
"Glyma.02G068800.Wm82.a2.v1",50,51,62,49,40,47
"Glyma.13G279400.Wm82.a2.v1",123,131,128,59,72,110
"Glyma.14G002800.Wm82.a2.v1",12,3,3,2,7,3
"Glyma.15G070000.Wm82.a2.v1",335,304,254,305,326,268
"Glyma.03G116200.Wm82.a2.v1",1,3,1,0,1,1
"Glyma.03G263500.Wm82.a2.v1",129,111,75,76,99,72
"Glyma.04G141300.Wm82.a2.v1",5,1,1,2,0,0
"Glyma.01G048200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G061600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G095900.Wm82.a2.v1",235,146,93,113,128,142
"Glyma.06G179600.Wm82.a2.v1",8,8,12,9,4,2
"Glyma.04G114500.Wm82.a2.v1",33,26,26,28,30,21
"Glyma.05G026600.Wm82.a2.v1",27,17,14,25,33,19
"Glyma.05G125200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G047600.Wm82.a2.v1",12,12,7,5,6,5
"Glyma.04G101300.Wm82.a2.v1",145,152,110,89,125,105
"Glyma.18G265200.Wm82.a2.v1",7,4,5,24,60,15
"Glyma.07G220900.Wm82.a2.v1",80,64,69,69,92,70
"Glyma.02G216700.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.08G123100.Wm82.a2.v1",279,242,231,314,480,230
"Glyma.11G069000.Wm82.a2.v1",54,52,52,58,82,36
"Glyma.16G018200.Wm82.a2.v1",5,8,5,10,8,8
"Glyma.07G084900.Wm82.a2.v1",35,34,22,37,33,39
"Glyma.17G072900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G115100.Wm82.a2.v1",200,165,165,176,225,164
"Glyma.05G079200.Wm82.a2.v1",20,15,18,32,21,15
"Glyma.09G078000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G127700.Wm82.a2.v1",145,164,106,100,110,97
"Glyma.19G200300.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.13G100000.Wm82.a2.v1",30,28,5,15,14,7
"Glyma.16G121400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G137500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G072700.Wm82.a2.v1",227,189,139,190,220,152
"Glyma.10G010300.Wm82.a2.v1",0,1,2,0,3,1
"Glyma.14G029600.Wm82.a2.v1",1,1,0,0,0,0
"Glyma.01G242700.Wm82.a2.v1",8,11,4,7,7,48
"Glyma.15G130700.Wm82.a2.v1",11,14,11,6,15,12
"Glyma.12G073500.Wm82.a2.v1",4,0,0,0,0,0
"Glyma.10G186600.Wm82.a2.v1",68,39,20,22,6,12
"Glyma.09G160500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G138400.Wm82.a2.v1",1,0,1,1,0,0
"Glyma.19G178700.Wm82.a2.v1",98,88,61,85,97,80
"Glyma.20G054500.Wm82.a2.v1",82,62,49,63,65,63
"Glyma.13G062400.Wm82.a2.v1",51,84,59,51,58,62
"Glyma.09G013400.Wm82.a2.v1",17,27,20,33,29,23
"Glyma.06G118400.Wm82.a2.v1",2,3,4,0,2,0
"Glyma.02G191800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G137500.Wm82.a2.v1",23,23,7,22,26,9
"Glyma.18G112300.Wm82.a2.v1",17,23,17,18,25,12
"Glyma.07G010000.Wm82.a2.v1",1,1,6,0,1,3
"Glyma.08G255500.Wm82.a2.v1",40,48,34,43,58,21
"Glyma.11G232600.Wm82.a2.v1",177,258,199,104,73,84
"Glyma.12G101500.Wm82.a2.v1",21,22,15,19,38,32
"Glyma.11G212000.Wm82.a2.v1",26,12,18,9,8,6
"Glyma.05G103700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G195300.Wm82.a2.v1",247,233,151,174,170,138
"Glyma.01G199100.Wm82.a2.v1",165,191,130,120,177,120
"Glyma.13G013900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G055900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G008200.Wm82.a2.v1",630,577,406,421,378,374
"Glyma.15G220100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G118700.Wm82.a2.v1",827,834,464,223,228,454
"Glyma.10G093400.Wm82.a2.v1",141,112,99,129,150,119
"Glyma.15G021900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G189900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G281400.Wm82.a2.v1",11,26,15,14,26,13
"Glyma.12G051300.Wm82.a2.v1",88,91,62,57,50,53
"Glyma.11G224900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G172400.Wm82.a2.v1",32,19,21,30,21,24
"Glyma.17G216100.Wm82.a2.v1",7,7,4,1,5,3
"Glyma.08G224400.Wm82.a2.v1",1585,1814,1391,1134,1086,966
"Glyma.19G166500.Wm82.a2.v1",890,897,644,433,498,542
"Glyma.08G137700.Wm82.a2.v1",117,102,65,120,155,120
"Glyma.04G100300.Wm82.a2.v1",18,4,4,2,1,4
"Glyma.05G176700.Wm82.a2.v1",33,39,31,29,27,32
"Glyma.19G110800.Wm82.a2.v1",207,191,159,175,240,171
"Glyma.02G207500.Wm82.a2.v1",64,53,44,58,47,35
"Glyma.04G224800.Wm82.a2.v1",9,8,9,3,2,4
"Glyma.20G225200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G143400.Wm82.a2.v1",44,28,43,29,51,41
"Glyma.05G091000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G050900.Wm82.a2.v1",50,34,31,38,46,30
"Glyma.05G161800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G191800.Wm82.a2.v1",147,139,111,100,126,94
"Glyma.20G177600.Wm82.a2.v1",7,3,3,4,11,8
"Glyma.18G241000.Wm82.a2.v1",26,19,18,5,1,0
"Glyma.03G050000.Wm82.a2.v1",312,465,311,161,145,107
"Glyma.06G054100.Wm82.a2.v1",113,137,95,70,46,85
"Glyma.04G189700.Wm82.a2.v1",5,6,9,3,3,4
"Glyma.15G065300.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.19G017400.Wm82.a2.v1",1,0,0,3,0,3
"Glyma.10G100200.Wm82.a2.v1",3,3,2,0,0,0
"Glyma.13G117000.Wm82.a2.v1",441,643,385,421,316,293
"Glyma.04G130900.Wm82.a2.v1",13,19,20,27,40,27
"Glyma.12G131600.Wm82.a2.v1",204,225,161,228,313,203
"Glyma.18G073900.Wm82.a2.v1",4,2,2,0,0,1
"Glyma.10G075500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G099800.Wm82.a2.v1",12,14,15,4,3,3
"Glyma.04G150300.Wm82.a2.v1",5,5,5,2,5,3
"Glyma.06G294700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G173000.Wm82.a2.v1",31,38,30,29,40,29
"Glyma.02G088500.Wm82.a2.v1",0,0,1,0,0,0
"Glyma.07G272200.Wm82.a2.v1",110,120,85,94,86,89
"Glyma.11G247200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G019300.Wm82.a2.v1",79,77,57,41,38,37
"Glyma.12G137800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G053000.Wm82.a2.v1",22,43,9,15,22,17
"Glyma.03G156000.Wm82.a2.v1",50,63,42,26,23,26
"Glyma.19G187100.Wm82.a2.v1",12,24,27,15,33,19
"Glyma.15G047100.Wm82.a2.v1",182,190,111,108,117,108
"Glyma.08G060100.Wm82.a2.v1",120,87,79,58,44,45
"Glyma.03G260000.Wm82.a2.v1",106,121,113,86,82,74
"Glyma.05G150500.Wm82.a2.v1",15,13,10,49,93,50
"Glyma.15G061200.Wm82.a2.v1",16,23,19,28,31,21
"Glyma.02G028700.Wm82.a2.v1",172,145,117,540,1430,314
"Glyma.12G081500.Wm82.a2.v1",511,640,458,818,936,631
"Glyma.04G008200.Wm82.a2.v1",21,15,22,66,42,47
"Glyma.15G156700.Wm82.a2.v1",80,88,53,46,47,65
"Glyma.20G088500.Wm82.a2.v1",56,47,40,44,63,56
"Glyma.04G120700.Wm82.a2.v1",1,0,1,2,1,2
"Glyma.12G217500.Wm82.a2.v1",31,14,8,11,30,9
"Glyma.11G034400.Wm82.a2.v1",39,45,21,19,17,19
"Glyma.16G179700.Wm82.a2.v1",11,11,13,10,20,8
"Glyma.07G089400.Wm82.a2.v1",310,319,342,248,284,317
"Glyma.12G017700.Wm82.a2.v1",40,31,23,34,43,14
"Glyma.02G138900.Wm82.a2.v1",143,178,122,135,131,133
"Glyma.11G211200.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.11G157100.Wm82.a2.v1",0,2,1,0,0,1
"Glyma.09G056600.Wm82.a2.v1",109,115,72,56,44,58
"Glyma.19G170900.Wm82.a2.v1",295,278,237,209,245,245
"Glyma.14G100900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G071900.Wm82.a2.v1",47,37,35,43,48,41
"Glyma.18G276200.Wm82.a2.v1",64,44,53,39,70,39
"Glyma.08G351900.Wm82.a2.v1",132,76,33,41,119,160
"Glyma.16G168100.Wm82.a2.v1",7,0,2,5,5,6
"Glyma.15G111300.Wm82.a2.v1",0,0,2,0,0,3
"Glyma.08G304700.Wm82.a2.v1",52,56,27,37,35,45
"Glyma.U044000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G056800.Wm82.a2.v1",1,1,3,0,1,2
"Glyma.19G235300.Wm82.a2.v1",1,0,1,8,24,10
"Glyma.02G153500.Wm82.a2.v1",72,75,67,17,20,25
"Glyma.15G191300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G250100.Wm82.a2.v1",193,253,213,89,117,108
"Glyma.20G056600.Wm82.a2.v1",3,8,1,8,7,7
"Glyma.19G186700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G067200.Wm82.a2.v1",0,0,0,0,2,1
"Glyma.02G108800.Wm82.a2.v1",5,2,3,4,2,4
"Glyma.03G138000.Wm82.a2.v1",172,143,112,100,112,103
"Glyma.10G086900.Wm82.a2.v1",0,1,2,1,0,1
"Glyma.13G212300.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.04G203500.Wm82.a2.v1",0,0,0,4,3,2
"Glyma.04G139600.Wm82.a2.v1",0,0,0,9,8,5
"Glyma.03G068300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G027700.Wm82.a2.v1",140,138,84,82,103,101
"Glyma.17G166900.Wm82.a2.v1",3,9,3,10,23,14
"Glyma.09G005000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G017500.Wm82.a2.v1",0,0,1,1,0,1
"Glyma.16G212400.Wm82.a2.v1",1,0,1,0,0,0
"Glyma.19G259500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G056100.Wm82.a2.v1",22,23,24,34,27,11
"Glyma.13G364800.Wm82.a2.v1",18,15,14,7,15,14
"Glyma.16G035200.Wm82.a2.v1",17,6,12,12,5,6
"Glyma.01G185200.Wm82.a2.v1",30,32,23,43,63,48
"Glyma.16G185700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G343400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G042000.Wm82.a2.v1",495,508,414,493,529,459
"Glyma.05G241000.Wm82.a2.v1",35,38,29,37,38,30
"Glyma.01G044200.Wm82.a2.v1",63,73,67,51,63,60
"Glyma.08G352000.Wm82.a2.v1",4,4,3,3,2,3
"Glyma.16G006300.Wm82.a2.v1",22,11,15,26,21,19
"Glyma.12G086900.Wm82.a2.v1",0,0,0,0,1,1
"Glyma.20G027300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G276700.Wm82.a2.v1",2,1,0,0,1,0
"Glyma.10G250900.Wm82.a2.v1",0,1,0,2,1,0
"Glyma.16G003100.Wm82.a2.v1",59,47,52,48,53,58
"Glyma.02G229500.Wm82.a2.v1",14,8,6,5,10,5
"Glyma.06G058000.Wm82.a2.v1",4,5,2,0,5,1
"Glyma.08G002200.Wm82.a2.v1",8,5,1,3,1,1
"Glyma.06G019700.Wm82.a2.v1",12,20,10,22,31,15
"Glyma.04G125200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G220500.Wm82.a2.v1",31,34,23,18,35,27
"Glyma.10G034400.Wm82.a2.v1",246,265,178,196,185,191
"Glyma.16G129800.Wm82.a2.v1",46,57,53,46,47,39
"Glyma.15G085200.Wm82.a2.v1",190,184,145,164,188,158
"Glyma.07G226600.Wm82.a2.v1",10739,10694,7623,4680,6849,7351
"Glyma.16G112900.Wm82.a2.v1",344,330,278,259,261,278
"Glyma.06G034200.Wm82.a2.v1",146,162,122,139,174,165
"Glyma.12G071600.Wm82.a2.v1",0,2,0,1,0,1
"Glyma.04G023200.Wm82.a2.v1",72,55,51,55,72,41
"Glyma.04G125700.Wm82.a2.v1",5,14,5,2,8,3
"Glyma.05G145700.Wm82.a2.v1",86,117,103,117,88,102
"Glyma.16G031600.Wm82.a2.v1",257,211,189,149,163,179
"Glyma.08G173700.Wm82.a2.v1",13010,15214,10927,12556,12107,10589
"Glyma.18G192300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G101900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G040500.Wm82.a2.v1",11,5,9,8,4,5
"Glyma.15G110100.Wm82.a2.v1",0,1,2,2,3,1
"Glyma.07G027600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G107600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G312000.Wm82.a2.v1",411,452,366,342,433,401
"Glyma.09G078200.Wm82.a2.v1",0,0,0,1,0,1
"Glyma.18G042600.Wm82.a2.v1",90,94,102,97,102,77
"Glyma.02G156300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G158900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G065800.Wm82.a2.v1",44,68,47,18,18,18
"Glyma.14G035400.Wm82.a2.v1",432,410,357,321,357,353
"Glyma.06G319800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G026700.Wm82.a2.v1",246,227,156,179,221,149
"Glyma.17G232900.Wm82.a2.v1",5,1,0,2,0,1
"Glyma.09G119900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G171200.Wm82.a2.v1",66,88,74,63,93,80
"Glyma.11G186200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G321200.Wm82.a2.v1",1,2,0,6,9,5
"Glyma.17G027900.Wm82.a2.v1",0,0,2,0,0,0
"Glyma.04G009200.Wm82.a2.v1",0,4,3,1,2,1
"Glyma.13G183000.Wm82.a2.v1",4,1,2,0,2,4
"Glyma.01G005600.Wm82.a2.v1",8,15,23,9,9,14
"Glyma.07G079400.Wm82.a2.v1",9,8,8,8,10,7
"Glyma.19G098300.Wm82.a2.v1",1,1,0,0,0,0
"Glyma.01G068000.Wm82.a2.v1",1067,1246,1237,1938,2627,1282
"Glyma.02G182400.Wm82.a2.v1",195,222,147,82,63,83
"Glyma.05G074200.Wm82.a2.v1",1,3,3,6,7,6
"Glyma.20G075700.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.10G079200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G014600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G032300.Wm82.a2.v1",8,10,10,11,5,3
"Glyma.06G217700.Wm82.a2.v1",16,11,12,27,20,13
"Glyma.20G030000.Wm82.a2.v1",0,0,1,0,0,0
"Glyma.15G120700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G123800.Wm82.a2.v1",14,3,3,4,8,5
"Glyma.16G130300.Wm82.a2.v1",166,173,111,82,101,95
"Glyma.03G107000.Wm82.a2.v1",160,138,91,152,154,83
"Glyma.20G153300.Wm82.a2.v1",9,13,9,8,11,11
"Glyma.18G277000.Wm82.a2.v1",3,4,2,5,5,2
"Glyma.11G116100.Wm82.a2.v1",0,5,1,1,3,2
"Glyma.01G077200.Wm82.a2.v1",457,525,393,280,297,314
"Glyma.19G189900.Wm82.a2.v1",0,4,0,7,2,3
"Glyma.15G186900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G186900.Wm82.a2.v1",1,1,2,1,0,2
"Glyma.08G047700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G015500.Wm82.a2.v1",643,643,222,501,670,566
"Glyma.13G273900.Wm82.a2.v1",324,378,247,275,346,315
"Glyma.15G275200.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.16G125400.Wm82.a2.v1",0,0,1,0,0,0
"Glyma.02G180000.Wm82.a2.v1",1,1,0,0,3,2
"Glyma.04G091000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.U032300.Wm82.a2.v1",106,123,89,64,51,51
"Glyma.05G218900.Wm82.a2.v1",68,81,52,57,85,74
"Glyma.18G192600.Wm82.a2.v1",4,1,3,2,1,1
"Glyma.01G007400.Wm82.a2.v1",34,22,15,28,43,29
"Glyma.05G149300.Wm82.a2.v1",105,139,83,115,144,138
"Glyma.04G087400.Wm82.a2.v1",19,14,21,4,4,10
"Glyma.03G252200.Wm82.a2.v1",80,124,101,68,85,134
"Glyma.13G123400.Wm82.a2.v1",264,246,225,203,228,175
"Glyma.10G042700.Wm82.a2.v1",0,0,1,0,0,0
"Glyma.13G367500.Wm82.a2.v1",24,29,13,18,18,25
"Glyma.06G237400.Wm82.a2.v1",2,5,1,0,0,4
"Glyma.19G249000.Wm82.a2.v1",311,287,204,326,360,204
"Glyma.06G229000.Wm82.a2.v1",46,45,60,24,17,62
"Glyma.10G259800.Wm82.a2.v1",39,50,29,36,52,46
"Glyma.02G175300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G287600.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.04G161200.Wm82.a2.v1",12,8,7,14,10,10
"Glyma.10G281400.Wm82.a2.v1",2922,4066,3573,3541,3121,2607
"Glyma.16G078400.Wm82.a2.v1",0,0,1,2,4,0
"Glyma.07G038600.Wm82.a2.v1",0,1,0,1,0,0
"Glyma.20G207000.Wm82.a2.v1",561,625,481,464,434,440
"Glyma.15G200700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G086400.Wm82.a2.v1",12,11,5,16,15,19
"Glyma.13G288200.Wm82.a2.v1",92,98,51,43,68,37
"Glyma.20G056400.Wm82.a2.v1",548,684,446,625,618,475
"Glyma.11G099400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G290300.Wm82.a2.v1",15,9,2,9,8,12
"Glyma.05G041200.Wm82.a2.v1",12,5,7,4,7,9
"Glyma.05G163200.Wm82.a2.v1",1,1,0,0,0,0
"Glyma.10G033100.Wm82.a2.v1",636,613,561,720,1108,625
"Glyma.09G195600.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.15G252300.Wm82.a2.v1",0,0,1,0,1,0
"Glyma.01G003300.Wm82.a2.v1",0,0,0,2,0,0
"Glyma.15G078600.Wm82.a2.v1",47,32,33,24,34,42
"Glyma.17G011900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G046100.Wm82.a2.v1",327,353,282,241,249,235
"Glyma.14G094200.Wm82.a2.v1",133,152,147,161,156,155
"Glyma.06G031500.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.07G017200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G007100.Wm82.a2.v1",421,383,422,250,206,247
"Glyma.08G357800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G131100.Wm82.a2.v1",143,187,116,119,197,155
"Glyma.11G006100.Wm82.a2.v1",95,78,67,74,72,65
"Glyma.11G080500.Wm82.a2.v1",64,68,71,45,52,51
"Glyma.17G091100.Wm82.a2.v1",26,31,18,24,27,38
"Glyma.08G108500.Wm82.a2.v1",104,82,62,75,104,87
"Glyma.04G074700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G200100.Wm82.a2.v1",241,205,149,125,135,150
"Glyma.17G152000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G169100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G209200.Wm82.a2.v1",0,1,0,0,2,2
"Glyma.02G127700.Wm82.a2.v1",82,69,63,69,79,57
"Glyma.05G222000.Wm82.a2.v1",97,61,46,38,66,56
"Glyma.05G232000.Wm82.a2.v1",15,18,23,10,11,11
"Glyma.08G162700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G232100.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.19G182600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G205500.Wm82.a2.v1",9,6,7,7,20,13
"Glyma.09G068100.Wm82.a2.v1",8,7,13,10,7,10
"Glyma.04G214400.Wm82.a2.v1",13,9,9,15,11,32
"Glyma.02G199100.Wm82.a2.v1",9,4,2,5,8,1
"Glyma.12G013100.Wm82.a2.v1",60,186,210,41,184,112
"Glyma.02G134600.Wm82.a2.v1",251,276,239,195,236,217
"Glyma.10G267400.Wm82.a2.v1",100,97,94,53,47,51
"Glyma.09G254700.Wm82.a2.v1",1,2,0,0,0,0
"Glyma.02G014700.Wm82.a2.v1",25,21,11,14,17,24
"Glyma.12G072700.Wm82.a2.v1",411,427,295,325,317,292
"Glyma.20G123700.Wm82.a2.v1",109,90,63,71,75,62
"Glyma.12G096000.Wm82.a2.v1",375,398,314,289,283,311
"Glyma.01G150900.Wm82.a2.v1",3,3,0,2,7,6
"Glyma.08G208600.Wm82.a2.v1",49,50,47,33,28,32
"Glyma.03G016100.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.01G130300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G063600.Wm82.a2.v1",471,440,248,190,157,248
"Glyma.07G108200.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.06G260600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G188400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G308900.Wm82.a2.v1",220,252,163,165,151,151
"Glyma.01G055000.Wm82.a2.v1",68,71,54,74,59,69
"Glyma.02G037500.Wm82.a2.v1",133,145,144,37,66,66
"Glyma.14G190100.Wm82.a2.v1",247,276,183,252,303,215
"Glyma.02G150800.Wm82.a2.v1",105,119,77,92,88,79
"Glyma.02G134400.Wm82.a2.v1",439,365,293,275,364,333
